Source,CH3,,
Second,Volt,,
-0.10648,0.008,,
-0.10646,-0.02,,
-0.10644,0.024,,
-0.10642,0.002,,
-0.1064,-0.002,,
-0.10638,0.02,,
-0.10636,-0.012,,
-0.10634,0.022,,
-0.106319988,0,,
-0.1063,0,,
-0.10628,0.02,,
-0.10626,-0.016,,
-0.10624,0.022,,
-0.10622,-0.01,,
-0.1062,0.014,,
-0.10618,0.006,,
-0.10616,-0.008,,
-0.10614,0.028,,
-0.10612,-0.026,,
-0.1061,0.018,,
-0.10608,-0.002,,
-0.10606,0,,
-0.10604,0.016,,
-0.10602,-0.018,,
-0.106,0.04,,
-0.10598,-0.008,,
-0.10596,0.006,,
-0.10594,0.02,,
-0.10592,-0.024,,
-0.1059,0.024,,
-0.10588,-0.008,,
-0.10586,0.016,,
-0.10584,0.008,,
-0.10582,-0.022,,
-0.1058,0.028,,
-0.10578,-0.014,,
-0.10576,0.016,,
-0.10574,0.004,,
-0.10572,-0.008,,
-0.105699988,0.022,,
-0.10568,-0.028,,
-0.10566,0.026,,
-0.10564,0.002,,
-0.10562,-0.022,,
-0.1056,0.016,,
-0.10558,-0.02,,
-0.10556,0.018,,
-0.10554,-0.016,,
-0.10552,0.008,,
-0.1055,0.022,,
-0.10548,-0.022,,
-0.10546,0.016,,
-0.10544,-0.014,,
-0.10542,0.03,,
-0.1054,0.004,,
-0.10538,-0.012,,
-0.10536,0.032,,
-0.10534,-0.004,,
-0.10532,0.01,,
-0.1053,0.004,,
-0.10528,-0.012,,
-0.10526,0.022,,
-0.10524,0.004,,
-0.10522,0.008,,
-0.1052,0.012,,
-0.10518,0,,
-0.10516,0.012,,
-0.10514,-0.004,,
-0.10512,0.012,,
-0.1051,0.004,,
-0.10508,-0.006,,
-0.10506,0.006,,
-0.10504,-0.012,,
-0.10502,0.018,,
-0.105,0,,
-0.10498,-0.012,,
-0.10496,0.01,,
-0.10494,-0.012,,
-0.10492,0.006,,
-0.1049,-0.008,,
-0.10488,0.004,,
-0.10486,0.012,,
-0.104839994,-0.002,,
-0.10482,0.004,,
-0.1048,0.002,,
-0.104779994,0.016,,
-0.10476,0.004,,
-0.104739994,-0.008,,
-0.104719994,0.008,,
-0.1047,-0.002,,
-0.104679994,0.012,,
-0.10466,0.004,,
-0.10464,-0.002,,
-0.104619994,0.022,,
-0.1046,0.002,,
-0.10458,0.01,,
-0.104559994,0.004,,
-0.10454,-0.004,,
-0.10452,0.008,,
-0.104499994,-0.002,,
-0.10448,0.016,,
-0.10446,-0.004,,
-0.104439994,0.004,,
-0.10442,0.012,,
-0.104399994,-0.004,,
-0.104379994,0.014,,
-0.10436,-0.004,,
-0.104339994,0.008,,
-0.10432,-0.006,,
-0.1043,-0.01,,
-0.104279994,0.008,,
-0.10426,-0.006,,
-0.10424,0.006,,
-0.104219994,0.008,,
-0.1042,0.01,,
-0.10418,0.002,,
-0.104159994,0.008,,
-0.10414,0.008,,
-0.104119994,0.006,,
-0.104099994,-0.008,,
-0.10408,0.004,,
-0.104059994,-0.004,,
-0.104039994,-0.002,,
-0.10402,0.008,,
-0.103999994,0.002,,
-0.10398,0.018,,
-0.10396,0.002,,
-0.103939994,0.014,,
-0.10392,0.004,,
-0.1039,-0.006,,
-0.103879994,0.01,,
-0.10386,-0.004,,
-0.10384,0.014,,
-0.103819994,-0.012,,
-0.1038,0.012,,
-0.103779994,0.02,,
-0.103759994,-0.006,,
-0.10374,0.008,,
-0.103719994,0.002,,
-0.1037,0.024,,
-0.10368,0.006,,
-0.103659994,-0.008,,
-0.10364,0.012,,
-0.10362,0,,
-0.103599994,0.002,,
-0.10358,0.006,,
-0.10356,0.008,,
-0.103539994,0.004,,
-0.10352,0.008,,
-0.103499994,0.006,,
-0.103479994,0.006,,
-0.10346,-0.004,,
-0.103439994,0.008,,
-0.103419994,0.002,,
-0.1034,0.004,,
-0.103379994,0.01,,
-0.10336,0.002,,
-0.10334,0.014,,
-0.103319994,0.004,,
-0.1033,0.01,,
-0.10328,0.014,,
-0.103259994,-0.004,,
-0.10324,0.012,,
-0.10322,0,,
-0.103199994,0.012,,
-0.10318,0,,
-0.103159994,0.012,,
-0.103139994,0.018,,
-0.10312,0,,
-0.103099994,0.01,,
-0.10308,0.004,,
-0.10306,0.022,,
-0.103039994,0.002,,
-0.10302,-0.004,,
-0.103,0.016,,
-0.102979994,0.006,,
-0.10296,0.014,,
-0.10294,0.006,,
-0.102919994,0.018,,
-0.1029,0.01,,
-0.10288,0.01,,
-0.102859994,0.012,,
-0.10284,0.01,,
-0.102819994,0.006,,
-0.102799994,0.008,,
-0.10278,0.012,,
-0.102759994,0.008,,
-0.10274,0.006,,
-0.10272,0.012,,
-0.102699994,0.016,,
-0.10268,0.016,,
-0.10266,0.014,,
-0.102639994,0.016,,
-0.10262,0.002,,
-0.1026,0.012,,
-0.102579994,0.006,,
-0.10256,0.018,,
-0.102539994,0.01,,
-0.102519994,0.014,,
-0.1025,0.02,,
-0.102479994,0.008,,
-0.10246,0.012,,
-0.10244,0.01,,
-0.102419994,0.02,,
-0.1024,0.006,,
-0.10238,0.002,,
-0.102359994,0.016,,
-0.10234,0.008,,
-0.10232,0.026,,
-0.102299994,0.008,,
-0.10228,0.022,,
-0.10226,0.012,,
-0.102239994,0.012,,
-0.10222,0.018,,
-0.102199994,0.014,,
-0.102179994,0.016,,
-0.10216,0.01,,
-0.102139994,0.016,,
-0.10212,0.014,,
-0.1021,0.01,,
-0.102079994,0.02,,
-0.10206,0.018,,
-0.10204,0.022,,
-0.102019994,0.018,,
-0.102,0.018,,
-0.10198,0.018,,
-0.101959994,0.022,,
-0.10194,0.02,,
-0.101919994,0.026,,
-0.101899994,0.024,,
-0.10188,0.028,,
-0.101859994,0.032,,
-0.101839994,0.032,,
-0.10182,0.03,,
-0.101799994,0.028,,
-0.10178,0.038,,
-0.10176,0.034,,
-0.101739994,0.038,,
-0.10172,0.044,,
-0.1017,0.042,,
-0.101679994,0.058,,
-0.10166,0.052,,
-0.10164,0.048,,
-0.101619994,0.054,,
-0.1016,0.054,,
-0.101579994,0.058,,
-0.101559994,0.046,,
-0.10154,0.05,,
-0.101519994,0.048,,
-0.1015,0.048,,
-0.10148,0.046,,
-0.101459994,0.046,,
-0.10144,0.056,,
-0.10142,0.046,,
-0.101399994,0.05,,
-0.10138,0.058,,
-0.10136,0.046,,
-0.101339994,0.062,,
-0.10132,0.052,,
-0.1013,0.052,,
-0.101279994,0.062,,
-0.10126,0.048,,
-0.101239994,0.052,,
-0.101219994,0.04,,
-0.1012,0.048,,
-0.101179994,0.034,,
-0.10116,0.026,,
-0.10114,0.044,,
-0.101119994,0.038,,
-0.1011,0.062,,
-0.10108,0.062,,
-0.101059994,0.076,,
-0.10104,0.102,,
-0.10102,0.1,,
-0.100999994,0.118,,
-0.10098,0.13,,
-0.100959994,0.128,,
-0.100939994,0.12,,
-0.10092,0.106,,
-0.100899994,0.104,,
-0.10088,0.1,,
-0.10086,0.09,,
-0.100839994,0.092,,
-0.10082,0.074,,
-0.1008,0.092,,
-0.100779994,0.084,,
-0.10076,0.082,,
-0.10074,0.096,,
-0.100719994,0.082,,
-0.1007,0.106,,
-0.10068,0.084,,
-0.100659994,0.098,,
-0.10064,0.112,,
-0.100619994,0.094,,
-0.100599994,0.112,,
-0.10058,0.094,,
-0.100559994,0.128,,
-0.10054,0.112,,
-0.10052,0.108,,
-0.100499994,0.14,,
-0.10048,0.12,,
-0.10046,0.138,,
-0.100439994,0.122,,
-0.10042,0.138,,
-0.1004,0.154,,
-0.100379994,0.124,,
-0.10036,0.158,,
-0.100339994,0.142,,
-0.100319994,0.154,,
-0.1003,0.156,,
-0.100279994,0.146,,
-0.10026,0.174,,
-0.10024,0.14,,
-0.100219994,0.15,,
-0.1002,0.16,,
-0.10018,0.136,,
-0.100159994,0.158,,
-0.10014,0.142,,
-0.10012,0.166,,
-0.100099994,0.148,,
-0.10008,0.14,,
-0.10006,0.17,,
